Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,6492.87201224634
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,42137.3272710372
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4966.51347122366
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,53637.7057109897
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5387.99797495383
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7302.25779418774
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,51247.0143531626
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,7143.3105484321
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,12221.4966064171
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,17685.3252834553
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,31551.81640625
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,26821.2452279995
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,68007.7566732954
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,27943.701219882
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,69010.3098011151
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,53654.7502964259
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,43658.9789781222
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,5023.27437961979
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,51203.5544731043
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,20192.5963039061
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,18728.1218948689
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,68727.636664709
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,100172.079253421
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35657.4975631691
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,10373.7897924367
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,5269.78390114389
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1276.7003650159
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,21148.1629405415
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,23723.3402510345
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,133590.146975586
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,5230.66173289497
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,234315.460503547
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,9465.70399879557
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,57767.8788108173
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6694.64112581709
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,89154.2760934922
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,17999.9099495446
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,24567.5092651
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,14858.2294290445
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,12194.77734375
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,9230.17831602601
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,21391.9253336042
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,29291.4006234431
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,30103.513733191
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,61028.7380600287
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,91991.6004583563
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,897.047510293411
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,9661.23597511355
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,4835.57177734375
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,46510.2827819127
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1983.06472288992
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/22/2022,,,,
