Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,38411.062779601
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,368.754614175459
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,6492.87201224634
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3690.62787797599
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,15743.3107582991
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,42137.3272710372
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1953.53375721508
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15781.3957017982
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10636.1201956183
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4966.51347122366
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,29342.1008575886
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,60443.1091649968
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,53637.7057109897
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5387.99797495383
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,27478.3896289831
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,26562.9691354026
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2457.92487986361
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17225.4623044097
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7302.25779418774
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,51247.0143531626
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6228.26730928353
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1319.1549945174
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,114090.328338579
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3266.36490519183
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3345.19658873831
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,7143.3105484321
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6805.22127398897
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,7507.16097080234
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31449.0765620727
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,12221.4966064171
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,893.077155776863
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,221.477676223363
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3293.23305430614
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1625.23501955454
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1666.93273443122
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,51987.9390529728
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,86568.7696368603
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,461.137490166508
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,685.690284124456
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,16265.0959767147
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,12556.3331200058
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6104.1367093039
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1577.47102705052
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,577.209215199828
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2290.38289133244
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12472.4437294954
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2549.04129724734
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,17685.3252834553
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,17717.5964802588
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,31551.81640625
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,26821.2452279995
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,68007.7566732954
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3150.43672926335
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7653.17187042868
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8476.75215730978
